pos, prob
-112, 0.0001
-108, 0.0001
-104, 0.0002
-102, 0.0003
-100, 0.0001
-98, 0.0001
-94, 0.0002
-92, 0.0003
-90, 0.0002
-88, 0.0006
-86, 0.0003
-84, 0.0009
-82, 0.0015
-80, 0.0005
-78, 0.0011
-76, 0.0017
-74, 0.0015
-72, 0.0019
-70, 0.0023
-68, 0.0024
-66, 0.0029
-64, 0.0035
-62, 0.0032
-60, 0.0041
-58, 0.0053
-56, 0.0038
-54, 0.005
-52, 0.0057
-50, 0.0057
-48, 0.0087
-46, 0.0083
-44, 0.0096
-42, 0.0131
-40, 0.0112
-38, 0.0129
-36, 0.0131
-34, 0.0123
-32, 0.0174
-30, 0.0159
-28, 0.0179
-26, 0.0175
-24, 0.0165
-22, 0.0186
-20, 0.0191
-18, 0.0207
-16, 0.0244
-14, 0.0239
-12, 0.0232
-10, 0.0267
-8, 0.0231
-6, 0.0256
-4, 0.0268
-2, 0.0228
0, 0.0246
2, 0.0264
4, 0.0258
6, 0.0256
8, 0.0242
10, 0.0243
12, 0.0212
14, 0.0221
16, 0.019
18, 0.0219
20, 0.0199
22, 0.0216
24, 0.019
26, 0.0164
28, 0.0176
30, 0.0166
32, 0.0159
34, 0.0155
36, 0.0131
38, 0.014
40, 0.0116
42, 0.0103
44, 0.0109
46, 0.0074
48, 0.0079
50, 0.0076
52, 0.007
54, 0.0057
56, 0.0063
58, 0.0048
60, 0.005
62, 0.0039
64, 0.002
66, 0.0025
68, 0.0027
70, 0.0024
72, 0.002
74, 0.0017
76, 0.0009
78, 0.0014
80, 0.0009
82, 0.001
84, 0.0006
86, 0.0003
88, 0.0005
90, 0.0007
92, 0.0006
94, 0.0002
96, 0.0004
98, 0.0001
100, 0.0003
104, 0.0001
106, 0.0001
108, 0.0001
110, 0.0002
112, 0.0001
116, 0.0001
118, 0.0001
130, 0.0001